author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243023/;Москва;sale;flat;9;27;2;69.4;32340400;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/308629847/;Москва;sale;flat;26;41;2;46.0;20950000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/306451958/;Москва;sale;flat;3;12;2;37.0;9500000;Западное Дегунино;Коровинское шоссе;9К1;Селигерская;
VESPER;developer;https://www.cian.ru/sale/flat/286258299/;Москва;sale;flat;5;9;2;104.2;150958800;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308553708/;Москва;sale;flat;9;12;2;88.0;59350000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300539730/;Москва;sale;flat;2;6;2;63.0;35990000;Басманный;Чистопрудный бульвар;12К2;Чистые пруды;
VESPER;developer;https://www.cian.ru/sale/flat/308762624/;Москва;sale;flat;5;21;2;110.6;108976392;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679467/;Москва;sale;flat;4;20;2;64.29;24166611;Даниловский;Автозаводская ;26;Тульская;FORST
ID 98396578;homeowner;https://www.cian.ru/sale/flat/308733860/;Москва;sale;flat;1;9;2;45.0;17800000;Красносельский;Протопоповский переулок;38;Площадь трёх вокзалов;
Tekta Group;developer;https://www.cian.ru/sale/flat/301259741/;Москва;sale;flat;24;42;2;43.0;21606000;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308553460/;Москва;sale;flat;9;12;2;99.0;96750000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
ID 74991203;homeowner;https://www.cian.ru/sale/flat/308079051/;Москва;sale;flat;3;24;2;53.2;19570000;Донской;Новоданиловская набережная;8к2;Верхние котлы;Новоданиловская 8
Главстрой;developer;https://www.cian.ru/sale/flat/306076580/;Москва;sale;flat;4;22;2;67.1;28625560;Филевский парк;Береговой проезд;2;Фили;Береговой-2
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306566143/;Москва;sale;flat;6;7;2;96.0;260000000;Хамовники; Льва Толстого;23к7с3;Парк Культуры;
Андрей Кряжев;realtor;https://www.cian.ru/sale/flat/307921476/;Москва;sale;flat;9;9;2;51.0;13750000;Чертаново Центральное;Днепропетровская ;27к1;Южная;
VESPER;developer;https://www.cian.ru/sale/flat/308803465/;Москва;sale;flat;1;6;2;173.3;363930000;Пресненский;Трехпрудный переулок;9С2;Пушкинская;Клубный дом Левенсон
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308343895/;Москва;sale;flat;8;29;2;69.1;31095000;Якиманка;Мытная ;40к3;Шаболовская;Sky House
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305111360/;Москва;sale;flat;4;16;2;37.0;19000000;Пресненский;Красногвардейский бульвар;5К2;Москва-Сити;
MR Group;developer;https://www.cian.ru/sale/flat/306610643/;Москва;sale;flat;2;59;2;31.1;;Можайский;;;Давыдково;Веер ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/309003049/;Москва;sale;flat;4;11;2;67.31;72000000;Дорогомилово;;3к3;Парк Победы;Виктори Парк Резиденсез ЖК
Ксения Шахматова;realtor;https://www.cian.ru/sale/flat/307950039/;Москва;sale;flat;6;9;2;40.0;13990000;Южное Тушино;Туристская ;4К4;Сходненская;
MR Group;developer;https://www.cian.ru/sale/flat/300287890/;Москва;sale;flat;5;43;2;57.89;26965162;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308907059/;Москва;sale;flat;10;32;2;64.4;51000000;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/308615645/;Москва;sale;flat;7;8;2;60.0;21300000;Ломоносовский; Кравченко;12;Проспект Вернадского;
UNIQ Development;developer;https://www.cian.ru/sale/flat/307668235/;Москва;sale;flat;3;25;2;64.3;50154000;Фили-Давыдково;Малая Филевская ;46;Кунцевская;Springs
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308907057/;Москва;sale;flat;5;21;2;64.76;68500000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ID 78359787;homeowner;https://www.cian.ru/sale/flat/306775783/;Москва;sale;flat;2;9;2;37.4;14490000;Нагатино-Садовники;Высокая ;20;Коломенская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/308080996/;Москва;sale;flat;2;6;2;71.56;131670400;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
ID 85604823;unknown;https://www.cian.ru/sale/flat/308497818/;Москва;sale;flat;16;41;2;51.0;34000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308690483/;Москва;sale;flat;10;14;2;56.7;22232323;Фили-Давыдково; Олеко Дундича;31к1;Филёвский парк;
ANT Development;developer;https://www.cian.ru/sale/flat/303519421/;Москва;sale;flat;2;10;2;59.8;71281684;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/272003903/;Москва;sale;flat;5;6;2;43.0;26900000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Ю-Питер;real_estate_agent;https://www.cian.ru/sale/flat/308901152/;Москва;sale;flat;14;16;2;50.5;14000000;Отрадное; Бестужевых;13;Отрадное;
Среда;developer;https://www.cian.ru/sale/flat/304753839/;Москва;sale;flat;12;30;2;56.31;21423871;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/301258691/;Москва;sale;flat;2;21;2;57.23;59000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
MOD Estate;real_estate_agent;https://www.cian.ru/sale/flat/305379573/;Москва;sale;flat;4;4;2;36.7;25000000;Басманный;Хохловский переулок;3С1;Китай-город;
Tekta Group;developer;https://www.cian.ru/sale/flat/303224289/;Москва;sale;flat;16;34;2;42.4;22349040;Обручевский;;;Воронцовская;Эвер ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307822693/;Москва;sale;flat;9;18;2;66.4;69700000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Владимир  Иванов;realtor;https://www.cian.ru/sale/flat/307501709/;Москва;sale;flat;12;12;2;43.9;18999000;Беговой;Ленинградский проспект;33А;Динамо;
MR Group;developer;https://www.cian.ru/sale/flat/306614387/;Москва;sale;flat;3;21;2;59.6;23207346;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298050405/;Москва;sale;flat;7;9;2;108.3;154000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/308359158/;Москва;sale;flat;1;6;2;40.0;10000000;Перово;1-я Владимирская ;12К1;Перово;
