author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
The Smitt;real_estate_agent;https://www.cian.ru/sale/flat/306642138/;Москва;sale;flat;5;9;1;32.7;7900000;Выхино-Жулебино;Ферганский проезд;7К1;Юго-Восточная;
Forma;developer;https://www.cian.ru/sale/flat/297983503/;Москва;sale;flat;10;29;1;39.0;18203016;Аэропорт;Часовая ;28к8;Сокол;SOUL
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308760982/;Москва;sale;flat;5;24;1;39.1;19800000;Фили-Давыдково; Герасима Курина;18;Славянский бульвар;
Century21 Феникс;real_estate_agent;https://www.cian.ru/sale/flat/307045302/;Москва;sale;flat;5;5;1;36.6;11450000;Останкинский;1-я Останкинская ;13/1;Телецентр;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/305145360/;Москва;sale;flat;5;27;1;34.9;16984748;Щукино;;;Щукинская;Октябрьское Поле ЖК
ID 81467774;homeowner;https://www.cian.ru/sale/flat/306073042/;Москва;sale;flat;3;17;1;38.0;13700000;Свиблово;Вересковая ;1К1;Свиблово;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/306034275/;Москва;sale;flat;4;4;1;20.0;8200000;Даниловский;2-я Рощинская ;10;Тульская;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/309004390/;Москва;sale;flat;2;24;1;43.9;20865363;Савеловский;Старый Петровско-Разумовский проезд;1/23С5;Гражданская;Петровский парк II
ALVO Group;real_estate_agent;https://www.cian.ru/sale/flat/283946953/;Москва;sale;flat;4;6;1;31.4;28500000;Хамовники;Зубовская ;7;Парк Культуры;Roza Rossa
ID 29360429;realtor;https://www.cian.ru/sale/flat/308762582/;Москва;sale;flat;28;32;1;43.0;16990000;Нижегородский;Газгольдерная ;10;Нижегородская;Profit
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/308023588/;Москва;sale;flat;2;46;1;42.5;30249760;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Кутузовский
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303016403/;Москва;sale;flat;12;28;1;45.2;20500000;Даниловский;Автозаводская ;;ЗИЛ;Shagal
ID 17498307;homeowner;https://www.cian.ru/sale/flat/308849289/;Москва;sale;flat;3;5;1;32.7;23960000;Замоскворечье;Новокузнецкая ;;Павелецкая;
Мангазея;developer;https://www.cian.ru/sale/flat/308902326/;Москва;sale;flat;17;21;1;48.1;27019838;Щукино;Щукинская ;3;Щукинская;Интонация
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/306516350/;Москва;sale;flat;21;22;1;39.0;11300000;Братеево;Алма-Атинская ;2;Алма-Атинская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/307502540/;Москва;sale;flat;6;14;1;39.4;8750000;Крюково;Зеленоград;к1620;Зеленоград — Крюково;
Центр-Инвест;developer;https://www.cian.ru/sale/flat/306675168/;Москва;sale;flat;6;9;1;65.1;55380179;Таганский;Серебрянический переулок;8;Китай-город;Титул на Серебрянической
MOD Estate;real_estate_agent;https://www.cian.ru/sale/flat/299499349/;Москва;sale;flat;5;21;1;48.4;21250000;Щукино;Щукинская ;3;Щукинская;Интонация
Виктория Грудько;realtor;https://www.cian.ru/sale/flat/308153896/;Москва;sale;flat;4;8;1;33.0;12450000;Теплый Стан;Профсоюзная ;136К4;Коньково;
MR Group;developer;https://www.cian.ru/sale/flat/308416242/;Москва;sale;flat;8;44;1;40.75;21801250;Марьина роща; 4-я Марьиной рощи;12К3;Марьина Роща;Mod
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307950468/;Москва;sale;flat;4;13;1;43.6;37500000;Пресненский; Сергея Макеева;9к1;Улица 1905 года;RedSide
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308934281/;Москва;sale;flat;6;17;1;36.3;12800000;Кунцево; Коцюбинского;10;Кунцевская;
Regions Development;developer;https://www.cian.ru/sale/flat/308234966/;Москва;sale;flat;8;16;1;37.8;18192215;Преображенское;Жилой комплекс Преображенская площадь;;Преображенская площадь;Преображенская площадь
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307970298/;Москва;sale;flat;14;32;1;44.0;32500000;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/306183207/;Москва;sale;flat;2;9;1;30.7;10000000;Лосиноостровский;Шушенская ;3К1;Бабушкинская;
КРОСТ;developer;https://www.cian.ru/sale/flat/296745539/;Москва;sale;flat;21;28;1;36.9;18117900;Хорошево-Мневники; Генерала Глаголева;;Народное Ополчение;CRYSTAL Трилогия
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/300074305/;Москва;sale;flat;5;38;1;39.8;20500000;Останкинский; Вильгельма Пика;;Улица Сергея Эйзенштейна;Режиссёр
ID 73726674;homeowner;https://www.cian.ru/sale/flat/308738727/;Москва;sale;flat;2;22;1;35.0;13400000;;Родниковая ;30к3;Саларьево;Румянцево-Парк
Имена;developer;https://www.cian.ru/sale/flat/304239716/;Москва;sale;flat;3;14;1;30.45;25364850;Дорогомилово;1-й Можайский тупик;8АС1;Киевская;D'ORO MILLE
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308852454/;Москва;sale;flat;9;12;1;39.0;13500000;Теплый Стан; Академика Бакулева;6;Тропарёво;
Парадайс;real_estate_agent;https://www.cian.ru/sale/flat/306546518/;Москва;sale;flat;11;12;1;30.0;8000000;; Логинова;5к1;Щербинка;Остафьево
Трансстройинвест;developer;https://www.cian.ru/sale/flat/306658027/;Москва;sale;flat;2;24;1;43.5;17768630;Очаково-Матвеевское;Мичуринский проспект;72А;Озёрная;ОМ
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307295985/;Москва;sale;flat;3;24;1;42.6;21500000;Даниловский;Автозаводская ;23Бк2;ЗИЛ;Парк Легенд
Ирина Василевская;realtor;https://www.cian.ru/sale/flat/307275502/;Москва;sale;flat;2;12;1;41.0;11700000;Соколиная гора;Вольная ;4;Семёновская;
Основа;developer;https://www.cian.ru/sale/flat/293623772/;Москва;sale;flat;6;28;1;43.5;17182500;Хорошево-Мневники;;;Полежаевская;Эмоушен ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/307257825/;Москва;sale;flat;11;12;1;61.3;38000000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/304787065/;Москва;sale;flat;79;97;1;73.0;72900000;Пресненский;набережная Пресненская;12;Деловой центр;Башня Федерация
LEGENDA Intelligent Development;developer;https://www.cian.ru/sale/flat/307944984/;Москва;sale;flat;20;57;1;36.0;18252000;Левобережный;Ленинградское шоссе;;Беломорская;Северный порт. Береговые кварталы
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/304952945/;Москва;sale;flat;11;20;1;44.0;22490000;Левобережный;;В3;Беломорская;Акватория ЖК
ID 123278538;homeowner;https://www.cian.ru/sale/flat/308540053/;Москва;sale;flat;6;14;1;38.6;13500000;Нагатино-Садовники;Старокаширское шоссе;4к1;Варшавская;
Основа;developer;https://www.cian.ru/sale/flat/304303436/;Москва;sale;flat;3;5;1;37.1;17140200;Марфино;Ботаническая ;29К1;Владыкино;VERY
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/308801170/;Москва;sale;flat;13;25;1;38.8;14800000;Щукино; Берзарина;30Б;Бульвар Генерала Карбышева;Октябрьское поле
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/307751775/;Москва;sale;flat;12;21;1;35.5;17000000;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
Донстрой;developer;https://www.cian.ru/sale/flat/308968773/;Москва;sale;flat;3;12;1;53.1;96965910;Хамовники;531-й кв-л;;Спортивная;Дом 22 ЖК
Estes;real_estate_agent;https://www.cian.ru/sale/flat/307585490/;Москва;sale;flat;17;22;1;43.5;19200000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/308804093/;Москва;sale;flat;17;17;1;40.0;11300000;Гольяново;Хабаровская ;2;Щёлковская;
TOUCH;developer;https://www.cian.ru/sale/flat/305603339/;Москва;sale;flat;4;27;1;46.32;32198000;Крылатское;Крылатская ;23;Молодёжная;Дом Горизонтов
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305693861/;Москва;sale;flat;22;22;1;15.8;7890000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Князев и Партнёры;real_estate_agent;https://www.cian.ru/sale/flat/306693359/;Москва;sale;flat;4;15;1;32.4;14000000;Хорошевский;Ходынский бульвар;20А;ЦСКА;Лайнер
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/307251020/;Москва;sale;flat;6;9;1;44.4;21445200;;;В14 кв-л;Серебряный Бор;Сберсити ЖК
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/308783142/;Москва;sale;flat;22;22;1;15.8;7890000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/301489628/;Москва;sale;flat;5;9;1;31.9;10100000;Нагорный;Болотниковская ;9;Варшавская;
РКС Девелопмент;developer;https://www.cian.ru/sale/flat/301447889/;Москва;sale;flat;2;16;1;39.43;17920935;Даниловский;Автозаводская ;24К1;Тульская;Дом на набережной INSIDER
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308112517/;Москва;sale;flat;10;17;1;41.0;9700000;;;20;Бачуринская;
